"product_id","community_id"
"FDI1686076996940","11221"
"PWS1688021836931","49865"
"DIO1687567484473","9268"
"DIO1694138718030","18298"
"VGE1696266706627","14680"
"AUC4372635931506","32161"
"AUC8059174151355","11221"
"FDI1687642623151","18298"
"SEL1696253868917","12602"
"AUC9422759677455","28513"
"KIM1689154453338","18298"
"AUC9331539887772","46512"
"VEN3666471011425","49338"
"MOT1689598240232","49865"
"AUC2008561829410","34249"
"PAR2008873544315","45582"
"AUC3701613718777","49338"
"ASH1695788858595","43814"
"HAO6795449177560","29854"
"OVO3205271638571","45582"
"ATY1686725047584","14101"
"VGE1694802453719","35448"
"OVO3500605634893","28513"
"ATY1693921059329","35448"
"OMA7388441195305","3817"
"ZER7678955771035","30775"
"AUC9157908987412","14680"
"MIC5903614498568","32108"
"ZJC7434408596484","14101"
"VGE1696281607368","40959"
"VBE7314626845468","39142"
"AUC3612062800541","45933"
"FDI2007811472758","11221"
"ANN4811630279676","46512"
"MOT1684813746430","41813"
"ATY7667104463334","35448"
"AUC1695714118085","5290"
"AUC3772983509104","28513"
"AUC8466953711714","32161"
"VGE1688991746733","3466"
"FIM0755559780759","11221"
"BOB3248111697185","11221"
"DEL1687516292976","12602"
"DRF1696274090742","51931"
"FDI1687466342130","11221"
"AUC3604910710270","28513"
"AUC8432210561019","18128"
"AUC3700966474903","12602"
"AUC9780532961277","32161"
"EJL1694372425459","48303"
"ZER1689655834723","17114"
"AUC4991551670438","36124"
"HAO1699570492952","5662"
"AUC3612062805188","32161"
"ZJC7063374299411","14101"
"AUC9098432704901","14680"
"AUC8092724924870","14680"
"VID1699090777440","32161"
"OVO4208706813115","36124"
"SAL1687834279318","40959"
"AUC9098432703560","14680"
"AUC3115620714972","28513"
"EST1696265138423","14101"
"VGE7078495439660","42480"
"DUO2007809134156","11221"
"AUC5011565263811","45933"
"AUC9068346604727","17114"
"HAO6752090292592","31351"
"DIO7734921216662","43814"
"DIO7842688812437","17114"
"HOM1696473693334","45933"
"YWE9028535424857","46512"
"ATY1693614870262","14101"
"ROK1685339015044","9808"
"AUC7630377901469","12602"
"AUC0732774483801","34620"
"AUC8062889504002","32161"
"MIC5903614123842","6563"
"ROK1687515844436","29854"
"AUC1696596638423","9536"
"HAO6797175242222","46123"
"VBE1693157452521","3466"
"DIO1699461621886","43814"
"HAO6794714581927","29854"
"ZJC7434408696801","14101"
"ITA3663556426662","25274"
"INS2008559910793","18128"
"DRF1696905606171","14101"
"OMA7388441195671","3817"
"AUC3094861290462","5662"
"YOS0966479781003","9536"
"AUC1696664712289","33972"
"AUC2008482103071","18128"
"HAO6783684258427","31351"
"AUC6916260890173","45933"
"WOV6054091094152","6893"
"PWS1688021864577","49865"
"QQM1691549513253","45933"
"YOS7633903042063","42927"
"AUC3254680063030","5662"
"KIM1690361101068","35839"
"SOD1691559635586","46512"
"AKO7867916999629","32161"
"HAO6751940423018","29854"
"DIO7380738149145","43814"
"AUC1696601370010","46259"
"HAO6711712283769","29854"
"AUC3457301863174","45933"
"AUC5056395306260","46512"
"QQM1689581825406","41813"
"HOM0757190674329","9536"
"DIO1698166813272","41813"
"OVO6257136851196","20098"
"CUQ9399442432786","46512"
"YWE9183412669964","46512"
"AUC5056395306185","46512"
"HAO6752739481882","29854"
"MOT1690507276480","14101"
